index,accX_L,accY_L,accZ_L,total_acc_L,accX_R,accY_R,accZ_R,total_acc_R,L_act,R_act
1795,-0.818,0.425,-0.35200000000000004,0.987,-0.775,0.426,-0.35700000000000004,0.9540000000000001,Idle,Idle
1796,-0.8190000000000001,0.426,-0.35600000000000004,0.9890000000000001,-0.892,0.409,-0.386,1.054,Idle,Idle
1797,-0.818,0.42700000000000005,-0.35600000000000004,0.9890000000000001,-0.9059999999999999,0.385,-0.36200000000000004,1.0490000000000002,Idle,Idle
1798,-0.82,0.426,-0.35700000000000004,0.991,-0.943,0.397,-0.384,1.093,Idle,Idle
1799,-0.818,0.428,-0.35100000000000003,0.988,-0.991,0.44299999999999995,-0.491,1.1909999999999998,Idle,Idle
1800,-0.818,0.426,-0.355,0.988,-0.973,0.41600000000000004,-0.496,1.169,Idle,Idle
1801,-0.8190000000000001,0.42700000000000005,-0.35600000000000004,0.99,-1.003,0.381,-0.527,1.195,Idle,Idle
1802,-0.8190000000000001,0.426,-0.363,0.992,-1.057,0.359,-0.531,1.236,Idle,Idle
1803,-0.818,0.425,-0.35700000000000004,0.9890000000000001,-1.094,0.341,-0.5589999999999999,1.275,Idle,Idle
1804,-0.8190000000000001,0.425,-0.36,0.99,-0.7929999999999999,0.555,-0.5720000000000001,1.124,Idle,Idle
1805,-0.82,0.426,-0.358,0.991,-0.736,0.662,-0.662,1.1909999999999998,Idle,Idle
1806,-0.8190000000000001,0.42700000000000005,-0.35700000000000004,0.99,-0.722,0.735,-0.773,1.288,Idle,Idle
1807,-0.8190000000000001,0.42700000000000005,-0.358,0.991,-1.213,0.937,-0.44299999999999995,1.595,Idle,Idle
1808,-0.818,0.42700000000000005,-0.355,0.9890000000000001,-1.091,1.1159999999999999,-0.133,1.5659999999999998,Idle,Idle
1809,-0.8190000000000001,0.42700000000000005,-0.355,0.99,-0.757,0.618,-0.168,0.992,Idle,Idle
1810,-0.818,0.425,-0.364,0.991,-0.838,0.402,-0.172,0.945,Idle,Idle
1811,-0.82,0.42700000000000005,-0.35600000000000004,0.991,-0.9159999999999999,0.275,-0.289,0.9990000000000001,Idle,Idle
1812,-0.818,0.42700000000000005,-0.35600000000000004,0.9890000000000001,-0.9570000000000001,0.21,-0.273,1.0170000000000001,Idle,Idle
1813,-0.818,0.426,-0.355,0.988,-0.8390000000000001,0.361,-0.461,1.023,Idle,Idle
